,test,station,acc_train,acc
0,STCT,6159,-1.2496591484115336,0.6699415943227092
0,STCT,6043,-1.2538874731711487,0.7268807882968127
0,STCT,6119,-1.2327458493730719,0.7873239326693227
0,STCT,6149,-1.287714071248072,0.6296461647410359
0,STCT,6181,-1.190462601776918,0.9020783082171315
0,STCT,6080,-1.2285175246134568,0.799587759063745
0,STCT,6170,-1.190462601776918,0.8994503454183267
0,STCT,6060,-1.245430823651918,0.7260048006972112
0,STCT,6110,-1.1989192512961488,0.8775506554282869
0,STCT,6058,-1.2581157979307642,0.7093610363047809
0,STCT,4217,-1.211604225574995,0.8477670770418326
0,STCT,4310,-1.190462601776918,0.687461346314741
0,STCT,4390,-1.3511389426423026,0.5367914791832669
0,STCT,4360,-1.355367267401918,0.5148917891932271
0,STCT,5700,-1.211604225574995,0.8241154118525897
0,STCT,4220,-1.2412024988923027,0.8144795482569721
0,STCT,4260,-1.287714071248072,0.6033665367529881
0,STCT,4208,-1.2919423960076872,0.5183957395916334
0,STCT,6179,-1.287714071248072,0.48072827280876496
0,STCT,6169,-1.2285175246134565,0.8214874490537849
0,STCT,6190,-1.245430823651918,0.7084850487051793
0,STCT,6160,-1.190462601776918,0.911714171812749
0,STCT,4210,-1.321540669324995,0.5543112311752988
0,STCT,4270,-1.245430823651918,0.7496564658864542
0,STCT,6030,-1.253887473171149,0.6016145615537849
0,STCT,6071,-1.2200608750942257,0.6795774579183267
0,STCT,4382,-1.4018788397576873,0.5
0,STCT,6151,-1.211604225574995,0.8477670770418326
0,STCT,4250,-1.3046273702865334,0.6331501151394422
0,STCT,6075,-1.1989192512961488,0.8188594862549801
0,STCT,6069,-1.2158325503346106,0.7093610363047809
0,STCT,6142,-1.220060875094226,0.7917038706673306
0,STCT,4373,-1.2708007722096104,0.6541738175298806
0,STCT,4231,-1.3257689940846102,0.579714871563745
0,STCT,6079,-1.2581157979307642,0.6839573959163346
0,STCT,4312,-1.2242891998538412,0.6585537555278884
0,STCT,4242,-1.287714071248072,0.6191343135458167
0,STCT,6052,-1.2919423960076872,0.5998625863545817
0,STCT,6165,-1.211604225574995,0.8249913994521912
0,STCT,6009,-1.2708007722096104,0.6787014703187251
0,STCT,6041,-1.321540669324995,0.5394194419820718
0,STCT,4214,-1.3257689940846102,0.5788388839641435
0,STCT,4230,-1.3215406693249951,0.56044314437251
0,STCT,6124,-1.2031475760557642,0.8836825686254981
0,STCT,6108,-1.190462601776918,0.8941944198207172
0,STCT,6070,-1.2031475760557642,0.784695969870518
0,STCT,4301,-1.3257689940846102,0.5350395039840637
0,STCT,4285,-1.287714071248072,0.640158015936255
0,STCT,4253,-1.313084019805764,0.6208862887450199
0,STCT,4272,-1.245430823651918,0.7216248626992032
0,STCT,6193,-1.2158325503346104,0.765424242679283
0,STCT,6191,-1.2327458493730719,0.7768120814741035
0,STCT,6180,-1.190462601776918,0.87930263062749
0,STCT,6104,-1.1989192512961488,0.8381312134462151
0,STCT,6096,-1.2285175246134565,0.7610443046812749
0,STCT,4330,-1.3384539683634566,0.5359154915836654
0,STCT,4201,-1.287714071248072,0.7049810983067729
0,STCT,6100,-1.1946909265365335,0.7663002302788845
0,STCT,4202,-1.266572447449995,0.6576777679282868
0,STCT,4266,-1.2919423960076872,0.603366536752988
0,STCT,6184,-1.1989192512961488,0.42816901683266934
0,STCT,6081,-1.2369741741326874,0.7137409743027888
0,STCT,6120,-1.220060875094226,0.8197354738545818
0,STCT,4203,-1.279257421728841,0.6787014703187251
0,STCT,4221,-1.2369741741326874,0.8048436846613546
0,STCT,4351,-1.3257689940846102,0.5639470947709163
0,STCT,6010,-1.1989192512961488,0.8731707174302789
0,STCT,4313,-1.342682293123072,0.4877361736055777
0,STCT,6005,-1.2412024988923027,0.7776880690737051
0,STCT,4228,-1.300399045526918,0.6208862887450199
0,STCT,4320,-1.3722805664403794,0.5122638263944224
0,STCT,6011,-1.2327458493730719,0.7724321434760956
0,SCT,6159,-1.4018788397576873,0.5
0,SCT,6043,-1.4018788397576873,0.5
0,SCT,6119,-1.4018788397576873,0.5
0,SCT,6149,-1.4018788397576873,0.5
0,SCT,6181,-1.4018788397576873,0.5
0,SCT,6080,-1.4018788397576873,0.5
0,SCT,6170,-1.4018788397576873,0.5
0,SCT,6060,-1.4018788397576873,0.5
0,SCT,6110,-1.4018788397576873,0.5
0,SCT,6058,-1.4018788397576873,0.5
